county,state,year,9th_to_12th_grade_no_diploma,associates_degree,bachelors_degree,graduate_or_professional_degree,high_school_graduate_(includes_equivalency),less_than_9th_grade,some_college_no_degree,married_couple_family,with_own_children_of_the_householder_under_18_years,male_householder_no_spouse/partner_present,female_householder_no_spouse/partner_present,foreign_born,native,females_15_years_and_over,males_15_years_and_over,american_indian_and_alaska_native,asian,black_or_african_american,native_hawaiian_and_other_pacific_islander,some_other_race,white,median_age_(years),sex_ratio_(males_per_100_females),mean_travel_time_to_work_(minutes),unemployment_rate,per_capita_income_(dollars),mean_household_income_(dollars),median_household_income_(dollars),mean_cash_public_assistance_income_(dollars),mean_earnings_(dollars),mean_retirement_income_(dollars),mean_social_security_income_(dollars),mean_supplemental_security_income_(dollars),homeowner_vacancy_rate,average_household_size_of_owner_occupied_unit,average_household_size_of_renter_occupied_unit,median_rooms,moved_in_1979_and_earlier,moved_in_1980_to_1989,moved_in_1990_to_1999,moved_in_2000_to_2009,moved_in_2010_to_2014,moved_in_2015_or_later,housing_units_with_a_mortgage,housing_units_without_a_mortgage,total_housing_units,10_to_19_units,1_unit_attached,1_unit_detached,2_units,20_or_more_units,3_or_4_units,5_to_9_units,boat_rv_van_etc_,mobile_home,average_household_size
Wyandotte County, Kansas,2016,32.5,12.6,5.3,77.8,20.8,12.6,6.5,65.0,29.7,7.3,35.0,27654,82.7,33.2,41.7,27.6,23.5,161777.0,0.6,0.2,7.5,33.5,8.4,20.8,(X),20084,53676,43129,1886,54163,21572,17491,9417,2.6,2.9,2.62,5.2,8.0,6.3,10.4,23.9,31.6,19.8,19974,12837,67699,5.4,9.3,70.1,1.9,4.4,2.9,3.8,0.0,2.2,2.9
Boone County, Kentucky,2016,25.2,20.5,10.1,93.5,27.7,4.5,9.9,76.9,38.0,5.2,23.1,4948,95.4,24.3,29.8,4.0,2.2,125656.0,0.7,0.2,0.7,36.6,6.9,22.9,(X),33961,92690,72374,3126,92093,25094,19552,8649,0.6,2.82,2.47,6.3,2.4,5.8,11.0,31.5,30.1,19.2,25951,8152,48770,8.0,5.3,69.6,0.9,2.8,3.6,6.0,0.0,3.8,2.82
Bullitt County, Kentucky,2016,39.7,9.1,6.3,86.1,21.2,10.8,9.8,70.3,28.0,6.3,29.7,1055,98.3,22.4,28.5,1.7,0.7,77727.0,0.3,0.2,0.5,39.7,5.3,27.5,N,29998,77718,65359,N,80990,21681,19054,8541,2.0,2.8,2.3,5.7,6.8,7.7,21.0,28.1,23.1,13.4,17098,6924,30959,2.1,2.9,79.4,0.5,0.4,3.0,4.4,0.0,7.5,2.8
Campbell County, Kentucky,2016,29.9,24.4,11.4,92.0,18.3,4.4,7.9,67.3,27.6,5.2,32.7,2035,97.4,31.7,36.9,1.8,1.0,91456.0,0.1,0.0,0.6,37.9,5.9,22.7,(X),32210,78640,62536,2839,83048,24672,16463,7654,2.0,2.51,2.29,5.8,7.4,7.4,15.2,22.4,29.3,18.3,18151,7112,40171,8.9,3.7,64.2,6.6,3.1,2.4,10.2,0.0,1.0,2.51
Christian County, Kentucky,2016,32.3,8.7,6.5,86.3,28.6,8.9,10.2,67.9,34.8,4.5,32.1,887,97.1,23.3,41.5,7.3,4.6,73936.0,1.2,0.1,1.2,28.3,9.5,18.5,(X),20204,52430,41140,520,52586,24286,15134,9783,0.0,2.52,2.71,5.3,7.7,7.2,8.2,17.9,28.2,30.7,5740,6108,29794,4.8,2.8,60.3,12.4,2.1,6.0,3.9,0.0,7.8,2.52
Daviess County, Kentucky,2016,31.3,14.2,9.2,90.0,23.8,6.3,11.6,64.2,27.7,4.9,35.8,3440,95.8,25.4,29.8,2.7,2.0,98724.0,0.3,0.1,0.5,39.1,6.7,20.1,(X),27567,69426,51764,1784,72667,19005,17346,8691,0.2,2.53,2.2,5.6,8.6,6.3,13.1,21.7,28.2,22.0,17490,10228,42963,2.8,0.5,76.7,5.1,1.4,4.9,4.0,0.2,4.5,2.53
Fayette County, Kentucky,2016,20.0,24.5,19.2,90.3,19.6,5.7,6.9,57.9,26.1,3.7,42.1,30713,89.2,38.6,43.1,6.8,4.8,311529.0,0.6,0.2,3.1,34.1,6.3,21.1,(X),32166,77827,53178,3979,74948,28780,18157,9586,2.0,2.47,2.33,5.4,4.6,5.1,10.7,23.6,28.4,27.6,48596,22105,140976,7.9,5.5,61.5,3.7,9.6,3.4,7.1,0.0,1.2,2.47
Hardin County, Kentucky,2016,29.2,13.0,10.5,90.7,23.2,6.3,14.7,66.5,28.0,4.6,33.5,4183,92.6,23.7,32.6,5.5,2.4,107573.0,2.2,0.1,1.6,36.0,6.9,21.1,(X),26698,67497,52148,3680,67187,25440,16531,9938,1.3,2.8,2.36,5.6,6.0,7.1,10.3,22.9,28.9,24.7,16681,8023,46152,7.0,4.8,61.0,3.0,2.1,5.9,6.1,0.0,10.2,2.8
Jefferson County, Kentucky,2016,26.0,19.1,12.8,90.0,23.8,7.1,8.2,58.8,25.3,5.0,41.2,51394,92.6,32.8,38.8,4.8,2.1,759724.0,0.4,1.3,1.0,38.0,6.5,22.2,(X),31165,73595,51991,2455,75016,23020,17888,9903,1.3,2.47,2.25,5.4,8.3,5.5,11.9,24.9,27.4,22.1,125966,63151,344655,5.8,3.9,64.8,2.1,6.6,8.3,7.6,0.0,0.9,2.47
Baldwin County, Alabama,2016,28.5,17.4,12.3,89.9,21.2,7.1,10.6,65.0,21.9,3.0,35.0,4544,97.0,25.4,30.1,4.4,3.0,199510.0,0.4,0.1,1.3,42.3,5.7,27.5,(X),29977,74892,56732,1390,77076,29136,19932,10300,4.0,2.82,2.29,5.5,5.2,4.0,15.3,28.0,30.4,17.1,33833,22311,110607,3.0,1.2,61.6,1.7,15.8,4.0,1.9,0.0,10.7,2.82
Calhoun County, Alabama,2016,31.7,9.3,7.2,82.2,27.1,11.3,7.0,69.1,26.5,3.6,30.9,2756,96.6,26.3,32.5,3.4,2.3,115883.0,0.5,0.1,1.2,39.1,5.6,25.5,(X),23818,58992,41687,3602,59439,27767,17017,9468,1.7,2.52,2.56,5.6,11.2,7.2,11.9,27.8,23.2,18.8,14490,14831,53337,2.1,1.3,68.6,2.7,1.3,2.6,4.7,0.0,16.8,2.52
Cullman County, Alabama,2016,32.2,11.4,5.5,77.4,18.3,14.6,10.0,71.1,26.9,3.6,28.9,2659,96.4,20.0,28.5,4.2,3.5,81316.0,0.1,0.0,0.8,40.5,6.0,27.8,(X),21237,54412,39411,2710,60721,18432,19030,12011,3.0,2.69,2.65,5.7,10.6,6.2,13.7,29.9,27.4,12.3,12312,10994,37265,0.8,0.5,71.4,2.3,0.6,2.0,2.6,0.0,19.7,2.69
DeKalb County, Alabama,2016,31.8,6.8,4.1,74.4,22.1,15.3,9.7,74.2,30.1,3.4,25.8,3892,93.8,22.6,25.4,14.0,8.0,70937.0,0.2,0.1,7.0,39.3,6.1,23.1,(X),19215,48529,35963,1145,50842,20051,16616,8283,0.7,2.8,2.65,5.7,9.5,8.5,16.4,27.7,24.3,13.6,8010,10175,31060,0.5,0.2,69.9,2.1,0.2,1.7,2.2,0.0,23.1,2.8
Elmore County, Alabama,2016,30.3,15.8,10.2,86.8,21.4,9.3,9.1,73.0,29.3,4.7,27.0,686,98.4,23.9,29.9,2.8,1.9,80957.0,0.4,0.2,0.9,38.3,5.9,26.2,(X),26230,71553,52579,1859,74781,26366,19990,8602,4.7,2.63,2.62,6.1,6.3,7.0,12.5,31.3,23.8,19.1,N,N,33751,2.1,1.7,74.3,1.3,0.8,2.2,1.7,0.0,16.0,2.63
Etowah County, Alabama,2016,34.8,9.7,5.9,81.5,23.5,12.2,7.7,68.0,25.7,4.1,32.0,3578,95.8,22.8,31.1,3.6,2.1,103363.0,0.1,0.0,0.6,40.9,5.6,26.2,(X),22117,55243,41152,N,59322,19460,18357,7971,0.3,2.59,2.67,5.8,11.0,7.6,14.0,22.5,27.2,17.6,15303,12463,47541,1.6,1.3,74.7,2.6,2.1,3.0,2.7,0.0,12.1,2.59
Houston County, Alabama,2016,30.1,13.1,7.2,84.0,24.2,11.4,9.5,64.1,24.7,4.8,35.9,1963,97.2,27.0,35.5,3.2,2.0,103891.0,0.4,0.2,0.8,39.3,6.2,20.2,(X),24013,59912,42321,2456,61384,22608,18375,8964,2.0,2.6,2.69,5.6,9.2,5.9,15.6,24.2,25.9,19.2,14096,11143,46883,3.7,1.3,70.3,2.5,2.6,3.5,2.8,0.0,13.3,2.6
Jefferson County, Alabama,2016,26.3,20.0,12.9,89.4,21.7,7.8,8.5,62.8,26.2,4.5,37.2,28000,95.1,31.8,36.7,3.7,2.6,659096.0,0.2,0.1,2.0,37.5,6.5,23.4,(X),30674,74945,50180,2398,76651,23428,17802,9267,2.1,2.53,2.33,5.7,9.1,6.1,13.3,24.7,26.6,20.3,100533,63911,308553,5.8,2.3,70.0,1.6,7.5,3.7,6.2,0.0,2.8,2.53
Lauderdale County, Alabama,2016,36.2,14.3,7.5,86.1,20.9,7.6,7.1,61.4,23.7,1.6,38.6,2483,97.3,22.9,29.6,2.4,1.7,92641.0,0.2,0.1,0.4,41.3,5.1,26.1,(X),24592,58691,43427,N,58672,22960,19563,9210,0.6,2.45,2.21,5.6,11.3,5.2,12.8,27.7,25.6,17.3,14659,11785,44577,3.8,0.8,72.2,3.8,2.7,2.5,4.7,0.0,9.5,2.45
Lee County, Alabama,2016,22.1,19.7,16.0,87.8,22.1,7.9,7.9,60.5,23.4,3.9,39.5,8515,93.4,36.9,42.6,3.7,1.3,153947.0,0.8,0.1,1.6,30.5,5.9,23.8,(X),25081,64562,48056,N,65224,26553,16598,11071,2.7,2.66,2.47,5.5,4.9,4.1,11.4,26.1,24.5,29.1,20776,13944,67173,8.4,2.7,55.5,4.2,4.8,3.4,3.5,0.0,17.6,2.66
Limestone County, Alabama,2016,30.2,14.5,7.7,80.9,21.4,13.1,7.0,68.8,28.3,5.0,31.2,3460,95.5,25.8,34.7,5.7,4.6,90257.0,0.3,0.0,1.6,39.0,6.0,25.4,(X),25662,69299,50872,1982,74948,24035,19123,10385,3.5,2.74,3.03,6.0,8.1,8.1,9.6,28.4,30.4,15.4,14036,8996,35769,1.8,0.6,79.5,1.8,1.5,1.7,2.8,0.0,10.3,2.74
Madison County, Alabama,2016,22.6,23.8,16.8,90.3,20.0,5.8,7.1,62.1,26.3,4.3,37.9,19163,92.3,28.7,35.3,4.7,2.8,349973.0,0.9,0.2,1.2,38.1,5.9,21.5,(X),35192,85057,60503,2943,83643,31440,18411,10124,2.7,2.53,2.21,6.1,5.4,5.4,11.8,28.7,27.6,21.2,66404,31504,159087,6.2,1.1,73.0,1.8,4.6,3.4,5.8,0.1,4.0,2.53
Marshall County, Alabama,2016,33.4,11.0,5.4,82.6,24.8,11.0,8.0,66.8,28.3,4.4,33.2,5210,93.8,19.7,28.0,12.9,8.6,94534.0,0.3,0.7,2.7,38.8,6.6,23.2,(X),22830,59315,42362,943,61391,19762,18842,6850,2.8,2.72,2.69,5.9,8.3,7.6,12.8,29.1,24.3,17.9,11632,11742,40344,0.7,1.2,75.1,2.7,0.1,2.4,2.6,0.6,14.7,2.72
Mobile County, Alabama,2016,32.1,15.8,7.8,86.6,21.7,10.6,9.1,65.0,25.6,4.7,35.0,14249,95.9,30.5,36.2,2.6,1.0,414291.0,0.4,0.2,0.9,37.2,6.6,24.8,(X),24499,61800,45744,1875,64211,25047,17629,7975,2.2,2.61,2.51,5.7,8.9,6.6,13.7,25.1,29.7,15.9,62314,40708,182640,4.2,0.7,72.9,2.1,4.6,3.2,4.4,0.2,7.6,2.61
Montgomery County, Alabama,2016,24.3,18.9,12.9,85.5,23.3,10.4,6.1,59.9,26.5,6.6,40.1,10598,94.1,35.6,40.2,3.3,2.0,227392.0,0.2,0.1,1.6,36.0,6.7,21.5,(X),27781,65678,45395,2238,64642,28260,16790,8178,0.9,2.51,2.29,5.8,6.7,5.4,14.4,25.0,26.8,21.7,35384,17643,104618,4.8,3.2,68.9,1.7,3.5,4.4,9.4,0.0,4.1,2.51
Morgan County, Alabama,2016,29.8,13.2,6.5,80.6,22.0,11.0,9.0,65.8,22.6,5.5,34.2,4934,94.5,24.2,33.0,7.8,6.2,119555.0,0.4,0.2,2.3,39.8,5.9,23.7,(X),24153,59794,44378,1654,64604,24010,18986,10066,2.3,2.62,2.58,5.9,7.9,9.7,15.4,30.0,21.1,15.8,19981,14380,51677,2.2,2.7,70.4,1.4,2.4,1.9,5.4,0.0,13.4,2.62
St. Clair County, Alabama,2016,36.1,12.2,5.2,82.2,21.0,12.8,7.7,78.2,29.8,4.0,21.8,1268,98.0,18.5,26.7,2.3,1.0,86576.0,0.4,0.0,0.9,40.0,6.0,29.1,(X),23687,65740,60158,N,66974,18509,20386,10146,1.9,2.82,2.13,6.1,5.1,5.3,18.8,29.4,29.8,11.5,16433,10302,36014,0.6,2.0,70.5,1.0,0.4,0.6,1.9,0.0,22.9,2.82
Shelby County, Alabama,2016,19.4,27.7,14.3,91.9,23.1,5.5,7.4,71.1,28.1,2.7,28.9,10304,93.8,23.8,29.5,5.8,4.3,205951.0,0.2,0.2,3.5,38.1,6.1,28.4,(X),34279,91136,73647,2090,90826,27887,20793,9096,1.0,2.78,2.54,6.4,3.4,5.4,16.6,33.6,26.4,14.6,42440,18202,85377,3.3,6.6,72.8,0.9,4.4,0.9,3.3,0.0,7.8,2.78
Talladega County, Alabama,2016,32.5,9.8,5.2,81.4,25.7,13.5,8.3,64.3,26.3,3.9,35.7,1280,97.4,23.1,36.2,2.2,1.6,81057.0,0.0,0.1,0.9,40.8,5.5,24.0,(X),21396,51776,39393,N,52030,23519,18179,10778,2.1,2.49,2.26,5.6,10.5,8.0,14.0,29.9,22.3,15.2,11885,12417,37203,0.5,0.6,61.8,2.2,1.2,3.0,3.7,0.7,26.3,2.49
Tuscaloosa County, Alabama,2016,28.0,17.1,12.9,89.1,23.3,8.2,7.7,62.4,25.6,4.9,37.6,7493,95.4,40.3,44.6,3.3,2.2,202471.0,0.1,0.1,1.0,32.1,6.0,21.9,(X),25026,65773,47787,3446,64782,26243,18768,9890,1.0,2.73,2.53,5.3,6.8,5.8,11.4,25.8,27.7,22.5,27804,17568,89748,7.4,1.1,62.4,2.9,8.8,3.3,6.0,0.1,8.0,2.73
Walker County, Alabama,2016,38.4,6.7,4.4,78.9,20.1,12.6,9.5,73.1,24.1,5.0,26.9,703,98.2,22.7,24.7,2.3,1.1,65593.0,0.3,0.0,0.2,42.3,6.1,28.3,(X),19724,50794,39068,1018,53795,18392,20102,8084,4.1,2.74,2.48,5.5,11.7,6.8,13.2,32.8,23.2,12.3,8111,10740,30664,0.2,1.0,62.0,2.9,0.1,3.0,1.7,0.0,29.1,2.74
Anchorage Municipality, Alaska,2016,23.2,23.3,13.3,93.9,25.4,4.2,8.8,66.5,30.3,5.8,33.5,30569,86.2,32.4,41.3,8.7,4.6,299321.0,1.1,0.1,2.7,32.8,7.4,18.0,(X),39061,106393,85634,3405,99071,33730,19075,10980,2.0,2.87,2.59,5.3,4.1,6.3,11.3,23.2,30.6,24.6,44816,19504,115539,2.9,11.5,49.7,7.1,7.0,11.3,7.0,0.1,3.5,2.87
Fairbanks North Star Borough, Alaska,2016,24.1,21.8,9.7,95.8,30.5,2.5,9.7,62.4,30.3,4.7,37.6,5904,89.8,24.8,45.2,7.5,3.6,100150.0,1.9,0.2,1.1,30.7,7.8,17.5,(X),31778,87359,77328,3405,80777,27909,17753,8679,1.3,2.74,3.03,4.5,3.8,8.7,12.6,17.0,34.4,23.4,N,N,41565,2.1,6.9,64.5,5.2,3.8,5.7,3.3,0.2,8.4,2.74
Matanuska-Susitna Borough, Alaska,2016,31.8,12.7,6.7,94.2,32.4,4.2,10.7,67.6,30.4,3.7,32.4,3563,94.5,29.8,37.4,4.5,2.4,98679.0,0.8,0.1,0.9,34.8,7.3,31.5,(X),29103,87787,69332,3332,86740,26473,16899,10517,2.3,3.54,2.88,4.7,2.0,5.5,13.1,32.9,29.7,16.9,17002,6090,41491,0.9,2.1,83.6,2.6,1.2,3.4,2.1,0.1,4.0,3.54
Apache County, Arizona,2016,31.1,6.9,4.8,81.6,31.3,9.4,7.6,70.9,25.9,7.7,29.1,750,98.8,45.6,47.2,5.9,4.6,72346.0,0.1,0.1,1.2,33.5,7.3,29.0,(X),14415,44505,34685,3908,53460,19922,15226,8424,3.0,3.57,3.67,4.5,12.3,12.6,21.3,26.4,18.8,8.6,3409,12289,32798,0.3,1.8,66.7,1.9,0.4,2.5,1.1,0.3,25.1,3.57
Cochise County, Arizona,2016,26.1,15.5,8.8,86.6,26.1,7.3,10.2,64.2,23.2,5.6,35.8,15690,83.1,23.1,30.7,34.4,30.4,128177.0,1.6,0.2,6.1,40.3,6.2,20.6,(X),23220,55174,45508,1888,51937,23829,17337,8894,3.8,2.35,2.35,5.6,6.2,6.6,14.4,27.2,24.8,20.8,17601,15578,60871,3.4,2.2,63.1,1.5,2.7,3.9,1.7,0.4,21.2,2.35
Coconino County, Arizona,2016,22.1,20.5,14.9,89.5,24.6,6.8,7.5,57.5,20.4,4.6,42.5,4560,95.9,44.0,52.4,13.7,10.9,138064.0,0.6,0.1,3.7,30.7,5.9,16.6,(X),23754,67297,55091,2847,64458,25957,18717,8391,1.7,2.79,2.48,5.0,5.5,5.4,11.8,25.3,28.0,23.9,16826,11638,65278,5.0,4.7,67.9,2.2,3.0,3.0,4.7,0.1,9.6,2.79
Maricopa County, Arizona,2016,22.4,20.4,11.5,87.2,24.6,6.9,8.3,66.0,29.2,6.0,34.0,638394,83.5,30.5,37.6,30.3,26.9,4088549.0,0.6,0.2,7.6,35.8,6.8,26.1,(X),30363,81501,58737,2260,81938,25174,20070,10192,1.7,2.76,2.75,5.4,2.5,3.5,10.4,24.0,34.4,25.1,638740,281374,1711390,6.3,5.6,64.4,0.9,8.5,3.8,5.2,0.1,5.1,2.76
Mohave County, Arizona,2016,34.4,7.3,4.0,84.7,30.2,12.0,8.8,61.5,15.2,4.3,38.5,10950,93.9,18.5,27.8,15.7,13.8,203629.0,0.2,0.1,3.6,49.7,4.6,21.8,(X),24529,57530,42423,2286,58217,25116,19286,11269,3.2,2.3,2.51,5.0,2.3,4.1,11.4,32.2,28.4,21.5,32335,25832,113817,1.3,1.5,60.6,1.9,3.0,2.5,2.0,0.4,26.8,2.3
Navajo County, Arizona,2016,29.8,8.6,5.8,81.0,28.6,11.5,8.2,73.0,27.7,6.2,27.0,3143,96.7,33.5,41.0,11.0,9.6,108209.0,0.2,0.1,4.0,35.8,7.4,19.7,(X),17034,51447,36998,3167,54802,17920,17901,8848,2.9,3.16,3.27,4.8,8.9,9.3,14.1,25.5,24.7,17.5,8573,14785,57813,0.7,2.2,71.5,1.7,0.8,1.4,1.9,0.2,19.7,3.16
Pima County, Arizona,2016,22.1,18.0,13.8,88.0,25.4,7.2,8.6,61.9,23.4,4.6,38.1,135944,84.9,31.0,38.7,36.1,32.7,1003338.0,0.6,0.2,10.1,38.1,5.9,24.4,(X),26700,65881,47560,3387,64428,26843,19411,9945,2.2,2.52,2.37,5.1,4.2,6.0,11.5,24.4,28.9,25.0,154529,96945,456576,4.8,7.8,59.8,1.6,7.5,2.7,4.1,0.2,11.5,2.52
Pinal County, Arizona,2016,28.1,13.1,7.1,85.5,27.2,9.1,9.9,69.4,24.8,5.6,30.6,37517,89.9,27.5,38.9,29.2,26.5,397604.0,0.7,0.1,5.8,38.3,6.3,30.3,(X),22452,65692,52555,1930,65395,24916,21377,9145,3.2,2.72,3.71,5.5,3.1,2.0,6.8,32.1,37.1,18.9,60588,40001,170708,1.3,1.7,72.5,0.4,0.9,1.4,1.0,0.6,20.3,2.72
Yavapai County, Arizona,2016,27.3,13.7,10.4,92.2,30.8,5.8,10.0,63.5,13.6,2.7,36.5,11977,93.7,18.6,23.0,14.1,12.4,218586.0,0.3,0.2,2.8,51.9,4.3,22.6,(X),28396,65804,50420,1918,64231,29724,19532,10215,1.7,2.2,2.62,5.4,2.3,4.2,13.2,28.8,31.6,20.0,39475,30316,114797,0.5,3.6,66.3,2.7,2.6,3.5,1.1,1.0,18.7,2.2
Yuma County, Arizona,2016,26.6,10.2,5.2,74.2,26.3,11.0,5.8,72.7,30.9,4.0,27.3,55078,72.3,25.8,33.1,62.0,59.5,203292.0,0.7,0.1,20.9,34.0,7.4,20.0,(X),20845,56872,43518,1280,56605,24526,17940,9644,1.8,2.77,2.68,4.8,3.4,4.7,12.6,30.1,25.5,23.7,27791,22183,91314,2.5,2.1,51.3,2.0,1.8,3.3,3.1,2.3,31.5,2.77
Benton County, Arkansas,2016,29.2,22.2,10.0,88.2,21.0,5.7,5.8,74.4,36.8,3.1,25.6,29082,87.9,20.6,26.8,16.1,11.2,245231.0,0.2,0.0,2.4,35.1,7.3,19.4,(X),30977,83871,63631,2118,86222,21922,19381,10371,1.5,2.78,2.56,5.7,1.6,3.5,7.6,30.1,33.4,23.7,43898,18942,102133,6.2,6.4,74.4,1.4,1.8,3.0,2.3,0.2,4.4,2.78
Craighead County, Arkansas,2016,37.5,15.3,8.2,88.0,21.1,7.1,5.9,63.0,28.9,7.4,37.0,3979,96.0,29.5,35.4,4.7,3.8,102884.0,0.1,0.0,1.7,33.9,7.0,16.5,(X),25491,64488,43678,3138,63352,18143,16854,9024,3.9,2.57,2.54,5.3,6.9,4.4,12.1,22.3,33.5,20.8,12097,9492,44394,4.4,1.4,67.4,3.1,3.1,7.5,7.1,0.0,6.1,2.57
Faulkner County, Arkansas,2016,32.0,17.1,11.8,91.4,24.1,6.1,6.5,65.6,32.5,4.1,34.4,3633,96.2,30.1,36.2,3.9,2.9,120417.0,0.2,0.0,1.5,31.9,6.5,22.8,(X),24526,65068,48506,1244,68065,22962,15745,8901,1.8,2.78,2.47,5.5,3.6,4.5,12.1,23.7,31.0,25.2,17458,9240,49328,6.0,1.7,63.5,6.4,1.5,2.5,6.6,0.3,11.5,2.78
Garland County, Arkansas,2016,29.6,12.5,5.8,88.0,30.8,9.3,9.3,57.4,19.5,1.6,42.6,4408,95.2,24.4,30.2,5.2,3.9,97119.0,0.1,0.0,2.9,44.1,5.6,20.9,(X),24263,56172,42826,N,55241,20814,18197,8994,1.4,2.47,2.32,5.1,6.3,5.1,11.9,28.1,29.7,18.8,14286,11849,50573,4.0,2.2,65.2,3.7,5.1,6.4,2.5,0.0,10.8,2.47
Jefferson County, Arkansas,2016,34.4,12.4,6.2,80.8,19.9,12.2,8.0,61.5,24.0,4.6,38.5,719,98.7,30.7,39.0,1.9,1.7,72385.0,0.0,0.0,0.9,38.7,6.1,20.4,(X),20521,51502,37712,2508,55948,20852,16857,11981,3.4,2.38,2.44,5.3,8.1,6.0,16.1,26.4,25.6,17.8,N,N,33240,5.1,0.7,68.0,3.9,3.1,3.1,4.2,0.0,11.9,2.38
Lonoke County, Arkansas,2016,35.1,13.6,7.6,89.6,23.8,6.8,9.6,73.2,31.2,6.7,26.8,1433,97.1,24.8,24.2,4.1,2.4,71279.0,0.3,0.1,1.7,35.8,6.8,27.6,(X),24910,64569,55837,N,64686,20922,16837,10392,3.9,2.7,2.76,5.7,5.3,7.5,11.4,25.8,33.0,17.1,N,N,29163,2.2,0.3,74.0,3.1,0.6,2.9,1.8,0.2,15.0,2.7
Pulaski County, Arkansas,2016,26.0,21.0,13.1,91.2,24.4,6.0,6.7,60.8,26.1,4.5,39.2,20536,94.0,29.9,37.1,5.9,4.1,391806.0,0.3,0.1,1.7,36.5,6.9,19.9,(X),30403,72387,47387,2356,76012,24549,17455,8344,2.1,2.46,2.31,5.4,6.4,5.0,10.4,23.9,30.2,24.0,58135,32436,183282,6.3,1.8,65.3,3.0,7.4,4.0,7.6,0.0,4.5,2.46
Saline County, Arkansas,2016,32.6,18.5,9.9,92.1,22.9,6.4,8.1,70.8,29.5,3.0,29.2,3455,96.2,20.3,25.6,4.2,3.1,115577.0,0.2,0.0,0.7,39.2,6.0,26.4,(X),28718,75347,64932,1952,75331,23545,19753,8688,0.8,2.8,2.32,5.8,4.4,6.9,13.8,31.4,27.5,16.1,20648,13901,47867,2.2,0.7,77.4,1.5,1.1,0.6,2.3,0.2,14.1,2.8
Sebastian County, Arkansas,2016,33.9,11.7,5.6,84.2,25.0,8.9,8.0,63.5,26.5,5.2,36.5,12115,89.7,24.2,33.4,13.4,9.8,127351.0,0.2,0.2,4.5,37.1,6.7,20.0,(X),22780,56346,42053,2817,55655,18160,18413,7446,2.2,2.56,2.34,5.4,6.1,6.7,13.9,24.5,26.3,22.4,16745,13059,56552,5.1,3.2,68.8,5.6,4.2,4.9,4.4,0.0,3.8,2.56
Washington County, Arkansas,2016,26.1,18.2,14.5,85.4,21.7,7.3,5.0,58.6,30.2,5.1,41.4,24733,87.7,33.8,38.8,16.2,12.4,219930.0,0.4,0.1,10.4,31.4,7.3,21.1,(X),25702,64869,45679,2373,66197,26298,17671,7864,0.3,2.7,2.28,5.2,3.0,2.9,9.9,21.3,30.2,32.6,28723,15327,92027,10.7,2.9,60.8,5.6,4.8,5.2,4.4,0.3,5.3,2.7
White County, Arkansas,2016,39.4,10.7,10.8,88.0,20.4,8.8,6.7,69.3,29.3,4.4,30.7,2168,96.6,28.9,31.9,4.1,2.9,78823.0,0.2,0.1,1.2,36.1,6.5,23.9,(X),21251,54969,42844,1546,58841,17299,17401,10994,2.7,2.77,2.5,5.3,7.2,4.4,9.3,28.3,29.6,21.2,N,N,33354,5.7,1.1,63.0,3.2,2.6,2.2,2.2,0.0,19.9,2.77
Alameda County, California,2016,17.6,26.3,19.1,87.7,18.3,5.5,6.5,67.0,30.7,4.8,33.0,541183,65.6,33.9,38.9,22.6,16.8,1605217.0,0.7,0.2,10.1,37.2,6.1,33.6,(X),42376,117667,89979,3979,119709,32005,18417,9773,1.0,2.95,2.68,4.8,6.6,6.2,12.2,25.3,32.2,17.5,221101,77795,599780,4.9,8.7,52.3,3.6,17.1,6.7,5.4,0.0,1.3,2.95
Butte County, California,2016,23.6,15.5,10.3,88.7,30.4,6.8,8.9,59.1,21.4,4.7,40.9,18428,90.8,33.7,41.2,15.4,13.1,223877.0,0.2,0.1,4.5,36.9,5.5,20.5,(X),25938,65703,45177,4353,68225,24449,18460,9910,2.6,2.52,2.66,5.1,4.4,5.7,12.0,27.3,29.2,21.3,29944,20621,98439,2.4,4.2,61.3,1.7,6.1,6.5,4.8,0.0,13.1,2.52
Contra Costa County, California,2016,17.1,25.8,15.7,89.3,22.3,4.6,8.3,72.8,32.8,5.5,27.2,284394,73.3,29.2,35.2,25.1,17.3,1107925.0,0.8,0.2,9.8,39.1,5.9,37.6,(X),43120,122204,91045,4322,121933,37304,20332,9928,1.2,2.84,2.93,5.7,7.0,7.1,13.4,24.1,31.6,16.8,185255,65215,410814,3.0,8.1,66.2,2.1,9.1,5.2,4.3,0.1,1.8,2.84
El Dorado County, California,2016,22.2,21.1,12.9,93.4,26.5,3.9,10.7,70.1,26.9,4.5,29.9,19173,88.4,25.5,28.2,12.5,10.5,183000.0,0.3,0.1,3.9,45.2,4.7,30.2,(X),39284,100639,75772,3108,100049,40954,20439,10645,1.6,2.6,2.76,5.6,4.1,7.3,15.5,28.3,26.9,17.8,37755,14462,89468,2.0,2.1,79.9,1.6,3.7,3.3,2.4,0.3,4.8,2.6
Fresno County, California,2016,23.3,13.2,7.0,74.7,23.0,10.7,8.2,72.4,35.5,8.2,27.6,211398,77.6,34.8,42.6,52.0,48.8,963160.0,0.4,0.1,19.5,31.6,8.2,22.8,(X),22518,68967,48715,3957,69958,28008,16712,9367,1.3,3.15,3.22,5.2,5.8,5.3,13.2,24.4,30.1,21.3,112073,48354,327812,2.3,2.2,67.5,2.9,5.0,9.6,7.2,0.2,3.1,3.15
